nohup: ignoring input
Read Training Data ...
Done ...
Read Testing Data ...
Done ...
Train Epoch 1 iter 148 Loss: 2.5017, Accuracy: 0.1400
Train Epoch 1 iter 149 Loss: 2.2984, Accuracy: 0.0600
Train Epoch 1 iter 150 Loss: 2.2305, Accuracy: 0.1400
Train Epoch 1 iter 151 Loss: 2.2176, Accuracy: 0.2000
Train Epoch 1 iter 152 Loss: 2.2586, Accuracy: 0.1600
Train Epoch 1 iter 153 Loss: 2.2935, Accuracy: 0.2000
Train Epoch 1 iter 154 Loss: 2.2829, Accuracy: 0.1600
Train Epoch 1 iter 155 Loss: 2.1765, Accuracy: 0.1200
Train Epoch 1 iter 156 Loss: 2.1992, Accuracy: 0.1400
Train Epoch 1 iter 157 Loss: 2.1561, Accuracy: 0.4200
Train Epoch 1 iter 158 Loss: 2.2731, Accuracy: 0.1200
Train Epoch 1 iter 159 Loss: 2.2584, Accuracy: 0.0600
Train Epoch 1 iter 160 Loss: 2.2114, Accuracy: 0.1600
Train Epoch 1 iter 161 Loss: 2.1983, Accuracy: 0.1000
Train Epoch 1 iter 162 Loss: 2.2752, Accuracy: 0.1000
Train Epoch 1 iter 163 Loss: 2.2511, Accuracy: 0.1400
Train Epoch 1 iter 164 Loss: 2.1682, Accuracy: 0.1200
Train Epoch 1 iter 165 Loss: 2.2952, Accuracy: 0.1200
Train Epoch 1 iter 166 Loss: 2.1934, Accuracy: 0.1600
Train Epoch 1 iter 167 Loss: 2.2463, Accuracy: 0.1400
Train Epoch 1 iter 168 Loss: 2.1836, Accuracy: 0.2600
Train Epoch 1 iter 169 Loss: 2.2280, Accuracy: 0.1200
Train Epoch 1 iter 170 Loss: 2.3202, Accuracy: 0.1400
Train Epoch 1 iter 171 Loss: 2.2961, Accuracy: 0.1400
Train Epoch 1 iter 172 Loss: 2.2088, Accuracy: 0.2000
Train Epoch 1 iter 173 Loss: 2.3075, Accuracy: 0.1800
Train Epoch 1 iter 174 Loss: 2.1601, Accuracy: 0.2200
Train Epoch 1 iter 175 Loss: 2.2503, Accuracy: 0.2200
Train Epoch 1 iter 176 Loss: 2.2201, Accuracy: 0.1200
Train Epoch 1 iter 177 Loss: 2.1879, Accuracy: 0.1600
Train Epoch 1 iter 178 Loss: 2.2539, Accuracy: 0.1600
Train Epoch 1 iter 179 Loss: 2.4249, Accuracy: 0.1800
Train Epoch 1 iter 180 Loss: 2.4320, Accuracy: 0.1600
Train Epoch 1 iter 181 Loss: 2.2854, Accuracy: 0.0800
Train Epoch 1 iter 182 Loss: 2.2796, Accuracy: 0.1600
Train Epoch 1 iter 183 Loss: 2.2574, Accuracy: 0.0800
